created_at;";data;;;;data_payload;;;;;vazao";
11/10/17;"16:00:19.373615-03;2017-10-11 16:00;16:00;12:08:00";"AM;8;0b00d388;00d388;54152;12;1,5;1,5"
11/10/17;"15:52:42.86413-03;2017-10-11 15:52;15:52;12:15:00";"AM;15;0b00d37c;00d37c;54140;33;2,2;2,2"
11/10/17;"15:37:55.148914-03;2017-10-11 15:37;15:37;12:07:00";"AM;7;0b00d35b;00d35b;54107;19;2,714285714;2,714285714"
11/10/17;"15:30:18.406654-03;2017-10-11 15:30;15:30;12:07:00";"AM;7;0b00d348;00d348;54088;24;3,428571429;3,428571429"
11/10/17;"15:23:07.498627-03;2017-10-11 15:23;15:23;12:08:00";"AM;8;0b00d330;00d330;54064;22;2,75;2,75"
11/10/17;"15:15:26.144824-03;2017-10-11 15:15;15:15;12:07:00";"AM;7;0b00d31a;00d31a;54042;30;4,285714286;4,285714286"
11/10/17;"15:08:10.759049-03;2017-10-11 15:08;15:08;12:08:00";"AM;8;0b00d2fc;00d2fc;54012;29;3,625;3,625"
11/10/17;"15:00:37.770279-03;2017-10-11 15:00;15:00;12:07:00";"AM;7;0b00d2df;00d2df;53983;35;5;5"
11/10/17;"14:53:04.676564-03;2017-10-11 14:53;14:53;12:08:00";"AM;8;0b00d2bc;00d2bc;53948;46;5,75;5,75"
11/10/17;"14:45:53.075632-03;2017-10-11 14:45;14:45;12:15:00";"AM;15;0b00d28e;00d28e;53902;110;7,333333333;7,333333333"
11/10/17;"14:30:49.699868-03;2017-10-11 14:30;14:30;12:07:00";"AM;7;0b00d220;00d220;53792;69;9,857142857;9,857142857"
11/10/17;"14:23:06.882374-03;2017-10-11 14:23;14:23;12:08:00";"AM;8;0b00d1db;00d1db;53723;85;10,625;10,625"
11/10/17;"14:15:40.889945-03;2017-10-11 14:15;14:15;12:07:00";"AM;7;0b00d186;00d186;53638;102;14,57142857;14,57142857"
11/10/17;"14:08:14.453919-03;2017-10-11 14:08;14:08;12:08:00";"AM;8;0b00d120;00d120;53536;118;14,75;14,75"
11/10/17;"14:00:38.853264-03;2017-10-11 14:00;14:00;12:07:00";"AM;7;0b00d0aa;00d0aa;53418;115;16,42857143;16,42857143"
11/10/17;"13:53:07.808511-03;2017-10-11 13:53;13:53;12:08:00";"AM;8;0b00d037;00d037;53303;130;16,25;16,25"
11/10/17;"13:45:45.323357-03;2017-10-11 13:45;13:45;12:08:00";"AM;8;0b00cfb5;00cfb5;53173;125;15,625;15,625"
11/10/17;"13:37:52.298989-03;2017-10-11 13:37;13:37;12:07:00";"AM;7;0b00cf38;00cf38;53048;130;18,57142857;18,57142857"
11/10/17;"13:30:21.02519-03;2017-10-11 13:30;13:30;12:08:00";"AM;8;0b00ceb6;00ceb6;52918;133;16,625;16,625"
11/10/17;"13:22:49.782624-03;2017-10-11 13:22;13:22;12:07:00";"AM;7;0b00ce31;00ce31;52785;153;21,85714286;21,85714286"
11/10/17;"13:15:35.586251-03;2017-10-11 13:15;13:15;12:08:00";"AM;8;0b00cd98;00cd98;52632;128;16;16"
11/10/17;"13:07:46.864229-03;2017-10-11 13:07;13:07;12:07:00";"AM;7;0b00cd18;00cd18;52504;104;14,85714286;14,85714286"
11/10/17;"13:00:16.115341-03;2017-10-11 13:00;13:00;12:08:00";"AM;8;0b00ccb0;00ccb0;52400;54;6,75;6,75"
11/10/17;"12:52:55.90596-03;2017-10-11 12:52;12:52;12:07:00";"AM;7;0b00cc7a;00cc7a;52346;6;0,857142857;0,857142857"
11/10/17;"12:45:36.753632-03;2017-10-11 12:45;12:45;12:22:00";"AM;22;0b00cc74;00cc74;52340;10;0,454545455;0,454545455"
11/10/17;"12:23:08.183058-03;2017-10-11 12:23;12:23;12:08:00";"AM;8;0b00cc6a;00cc6a;52330;4;0,5;0,5"
11/10/17;"12:15:31.832436-03;2017-10-11 12:15;12:15;12:07:00";"AM;7;0b00cc66;00cc66;52326;6;0,857142857;0,857142857"
11/10/17;"12:08:04.287403-03;2017-10-11 12:08;12:08;12:15:00";"AM;15;0b00cc60;00cc60;52320;10;0,666666667;0,666666667"
11/10/17;"11:53:12.950173-03;2017-10-11 11:53;11:53;12:08:00";"AM;8;0b00cc56;00cc56;52310;4;0,5;0,5"
11/10/17;"11:45:36.685585-03;2017-10-11 11:45;11:45;12:07:00";"AM;7;0b00cc52;00cc52;52306;4;0,571428571;0,571428571"
11/10/17;"11:38:13.488006-03;2017-10-11 11:38;11:38;12:08:00";"AM;8;0b00cc4e;00cc4e;52302;6;0,75;0,75"
11/10/17;"11:30:45.478854-03;2017-10-11 11:30;11:30;12:07:00";"AM;7;0b00cc48;00cc48;52296;6;0,857142857;0,857142857"
11/10/17;"11:23:17.855216-03;2017-10-11 11:23;11:23;12:08:00";"AM;8;0b00cc42;00cc42;52290;5;0,625;0,625"
11/10/17;"11:15:50.212084-03;2017-10-11 11:15;11:15;12:07:00";"AM;7;0b00cc3d;00cc3d;52285;5;0,714285714;0,714285714"
11/10/17;"11:08:18.262848-03;2017-10-11 11:08;11:08;12:07:00";"AM;7;0b00cc38;00cc38;52280;7;1;1"
11/10/17;"11:01:03.59712-03;2017-10-11 11:01;11:01;12:08:00";"AM;8;0b00cc31;00cc31;52273;5;0,625;0,625"
11/10/17;"10:53:22.862292-03;2017-10-11 10:53;10:53;12:08:00";"AM;8;0b00cc2c;00cc2c;52268;6;0,75;0,75"
11/10/17;"10:45:59.59098-03;2017-10-11 10:45;10:45;12:07:00";"AM;7;0b00cc26;00cc26;52262;7;1;1"
11/10/17;"10:38:27.617079-03;2017-10-11 10:38;10:38;12:07:00";"AM;7;0b00cc1f;00cc1f;52255;9;1,285714286;1,285714286"
